seasonyear,citycountry,startdatetime,endmonth,endday,endyear,endtime
Winter-2022,"Beijing,China",04FEB2022:15:00:00,2,20,2022,12:00
Summer-2020,"Tokyo,Japan",23JUL2021:11:00:00,8,8,2021,14:00
Winter-2018,"Pyeong Chang,Republic of Korea",08FEB2018:23:00:00,2,25,2018,8:00:00
Summer-2016,"Rio,Brazil",05AUG2016:12:00:00,8,21,2016,21:00:00
Winter-2014,"Sochi,Russian Federation",07FEB2014:04:00:00,2,23,2014,16:00:00
Summer-2012,"London,Great Britain",27JUL2012:07:00:00,8,12,2012,19:00:00
Winter-2010,"Vancouver,Canada",12FEB2010:16:00:00,2,28,2010,4:00:00
Summer-2008,"Beijing,China",08AUG2008:00:00:00,8,24,2008,12:00:00
Winter-2006,"Turin,Italy",10FEB2006:07:00:00,2,26,2006,19:00:00
Summer-2004,"Athens,Greece",13AUG2004:06:00:00,8,29,2004,18:00:00
Winter-2002,"Salt Lake City,United States",08FEB2002:15:00:00,2,24,2002,8:00:00
Summer-2000,"Sydney,Australia",15SEP2000:01:00:00,10,1,2000,9:00:00
Winter-1998,"Nagano,Japan",06FEB1998:23:00:00,2,22,1998,11:00:00
Summer-1996,"Atlanta,United States",19JUL1996:12:00:00,8,5,1996,21:00:00
Winter-1994,"Lillehammer,Norway",12FEB1994:07:00:00,2,27,1994,19:00:00
Summer-1992,"Barcelona,Spain",25JUL1992:06:00:00,8,9,1992,18:00:00
Winter-1992,"Albertville,France",08FEB1992:07:00:00,2,23,1992,19:00:00
Summer-1988,"Seoul,Republic of Korea",16SEP1988:22:00:00,10,2,1988,10:00:00
Winter-1988,"Calgary,Canada",13FEB1988:15:00:00,2,28,1988,3:00:00
Summer-1984,"Los Angeles,United States",28JUL1984:15:00:00,8,12,1984,19:00:00
Winter-1984,"Sarajevo,Yugoslavia",08FEB1984:07:00:00,2,19,1984,19:00:00
Summer-1980,"Moscow,USSR",19JUL1980:05:00:00,8,3,1980,18:00:00
Winter-1980,"Lake Placid,United States",13FEB1980:13:00:00,2,24,1980,1:00:00
Summer-1976,"Montreal,Canada",17JUL1976:12:00:00,7,31,1976,22:00:00
Winter-1976,"Innsbruck,Austria",04FEB1976:07:00:00,2,15,1976,19:00:00
Summer-1972,"Munich,Federal Republic of Germany",26AUG1972:07:00:00,9,11,1972,19:00:00
Winter-1972,"Sapporo,Japan",02FEB1972:23:00:00,2,13,1972,11:00:00
Summer-1968,"Mexico City,Mexico",12OCT1968:16:00:00,10,28,1968,4:00:00
Winter-1968,"Grenoble,France",06FEB1968:07:00:00,2,18,1968,19:00:00
Summer-1964,"Tokyo,Japan",09OCT1964:23:00:00,10,24,1964,11:00:00
Winter-1964,"Innsbruck,Austria",29JAN1964:07:00:00,2,9,1964,19:00:00
Summer-1960,"Rome,Italy",25AUG1960:07:00:00,9,11,1960,19:00:00
Winter-1960,"Squaw Valley,United States",18FEB1960:16:00:00,2,28,1960,4:00:00
Summer-1956,"Melbourne,Australia",21NOV1956:22:00:00,12,8,1956,10:00:00
Winter-1956,"Cortina d'Ampezzo,Italy",26JAN1956:07:00:00,2,5,1956,19:00:00
Summer-1952,"Helsinki,Finland",19JUL1952:07:00:00,8,3,1952,7:00:00
Winter-1952,"Oslo,Norway",14FEB1952:07:00:00,2,25,1952,19:00:00
Summer-1948,"London,Great Britain",29JUL1948:07:00:00,8,14,1948,19:00:00
Winter-1948,"St. Moritz,Switzerland",30JAN1948:07:00:00,2,8,1948,19:00:00
Summer-1936,"Berlin,Germany",1AUG1936:07:00:00,8,16,1936,19:00:00
Winter-1936,"Garmisch-Partenkirchen,Germany",06FEB1936:08:00:00,2,16,1936,20:00:00
Summer-1932,"Los Angeles,United States",30JUL1932:16:00:00,8,14,1932,19:00:00
Winter-1932,"Lake Placid,United States",04FEB1932:13:00:00,2,15,1932,18:00:00
Summer-1928,"Amsterdam,Netherlands",17MAY1928:07:00:00,8,12,1928,19:00:00
Winter-1928,"St. Moritz,Switzerland",11FEB1928:08:00:00,2,19,1928,8:00:00
Summer-1924,"Paris,France",04MAY1924:07:00:00,7,27,1924,19:00:00
Winter-1924,"Chamonix,France",25JAN1924:08:00:00,2,5,1924,20:00:00
Summer-1920,"Antwerp,Belgium",20APR1920:07:00:00,9,12,1920,19:00:00
Summer-1912,"Stockholm,Sweden",05MAY1912:08:00:00,7,27,1912,20:00:00
Summer-1908,"London,Great Britain",27APR1908:08:00:00,10,31,1908,20:09:00
Summer-1904,"St. Louis,United States",01JUL1904:14:00:00,11,24,1904,2:00:00
Summer-1900,"Paris,France",14MAY1900:08:50:39,10,28,1900,19:50:39
Summer-1896,"Athens,Greece",06APR1896:11:38:39,4,15,1896,11:39:39
