Country,Medals,PerCapitaGDP,Population,Temperature
Australia,16,59934,26280158,22.06
Austria,105,53268,8947344,7.35
Belarus,16,7304,9523220,7.33
Belgium,3,51768,11667807,10.47
Bulgaria,4,11635,6741456,11.98
Canada,147,52051,38582544,-3.71
China,63,12556,1425857429,8.19
Croatia,11,17399,4021915,11.95
Czechia,30,26379,10491124,8.50
Estonia,8,27281,1324917,6.28
Finland,40,53983,5542605,2.30
France,75,43519,64678287,11.57
Germany,172,50802,83325196,9.49
Hungary,4,18773,10185822,11.57
Italy,64,35551,58973222,13.50
Japan,47,39285,123695828,12.36
Kazakhstan,3,10042,19478278,7.88
Latvia,10,20642,1842494,6.81
Liechtenstein,1,169049,39327,7.42
Netherlands,86,58061,17585622,10.39
New Zealand,6,48802,5202317,11.23
Norway,169,89203,5450060,2.06
Poland,19,17841,41127030,8.75
Russia,129,12173,144698288,-3.64
Slovenia,31,29201,2119844,9.90
South Korea,63,34758,51805364,13.04
Spain,3,30116,47545035,14.25
Sweden,79,60239,10574247,3.02
Switzerland,74,93457,8762939,6.42
Ukraine,6,4836,36855428,9.38
United Kingdom,16,47334,67598805,9.38
United States,172,69288,338909206,10.00
